c_name|c_custkey|o_orderkey|o_orderdate|o_totalprice|%4
Customer#000439822|439822|3342468|1994-06-12|460127.52|303.00
Customer#000380593|380593|4702759|1994-11-07|459534.49|320.00
Customer#000446654|446654|2942469|1992-05-31|458626.26|313.00
Customer#000203588|203588|16416640|1998-01-19|458102.10|302.00
Customer#000217679|217679|9506693|1993-07-20|457522.17|314.00
Customer#000134806|134806|8433440|1997-04-18|457166.87|305.00
Customer#000265682|265682|10858721|1998-06-03|456961.99|306.00
Customer#000155699|155699|15104033|1995-02-03|456492.16|308.00
Customer#000111626|111626|15191270|1995-05-09|456308.78|310.00
Customer#000109855|109855|4806726|1995-01-17|455766.09|328.00
Customer#000111230|111230|16089345|1996-07-09|455747.17|305.00
Customer#000053233|53233|6882|1997-04-09|455673.51|303.00
Customer#000315779|315779|5296167|1996-09-06|455153.85|303.00
Customer#000061874|61874|15738658|1995-03-25|455137.26|307.00
Customer#000387713|387713|7125602|1994-07-08|454239.20|301.00
Customer#000288926|288926|13683589|1995-06-08|453664.59|313.00
Customer#000036754|36754|735366|1993-11-24|450135.32|309.00
Customer#000438754|438754|13841255|1997-12-08|450128.12|302.00
Customer#000000994|994|6210853|1997-08-08|450116.63|303.00
Customer#000349022|349022|11141606|1997-09-28|449654.10|325.00
Customer#000199597|199597|29158|1995-10-21|448999.75|305.00
Customer#000056512|56512|6581665|1993-12-04|448907.07|303.00
Customer#000350575|350575|6222658|1994-03-08|448343.28|301.00
Customer#000107879|107879|12099683|1994-12-13|447870.52|308.00
Customer#000150019|150019|2366755|1996-12-09|447835.77|302.00
Customer#000088577|88577|14389831|1996-11-04|446695.52|301.00
Customer#000236012|236012|6203745|1997-07-22|446570.57|302.00
