ps_partkey|value
378442|9380190.27
420032|9379852.60
374887|9379178.21
460442|9377882.92
368790|9377164.24
409457|9374940.68
109262|9373320.32
88726|9369102.96
78434|9368923.85
512306|9365316.61
319163|9365000.82
143092|9364934.53
486921|9363895.20
558627|9363508.50
187238|9362768.33
217690|9361546.38
305588|9360141.54
148536|9356572.30
5175|9354056.72
143581|9353059.20
202924|9352701.48
194056|9352381.73
186919|9348893.04
494008|9344695.53
381294|9340394.40
344504|9337070.23
362475|9336685.60
266991|9336557.25
373806|9335659.56
196543|9334086.51
489286|9332758.00
466077|9332648.52
150383|9332576.75
16358|9331500.92
122698|9330814.76
250780|9328839.26
332143|9328230.36
114027|9327539.57
432223|9326411.40
372360|9326105.25
214084|9325217.02
516244|9321387.92
568705|9320479.98
331088|9320294.20
330034|9319287.60
471251|9318334.80
492079|9314840.60
359895|9314717.00
223074|9314541.27
222308|9313545.00
221052|9313131.52
335952|9311505.90
438992|9310183.47
244403|9307969.14
141833|9307702.84
423679|9306586.80
188728|9306162.60
81524|9303166.08
420646|9302589.62
19092|9301380.49
301873|9300890.34
165033|9300647.49
118153|9298606.56
216545|9298556.06
434932|9297232.14
105203|9294180.84
383805|9293697.00
525001|9293086.20
284350|9293059.18
513438|9291469.95
296941|9286741.30
592849|9286483.38
535422|9286156.80
17979|9284648.49
531626|9284394.94
538574|9282680.11
449084|9282068.80
411760|9281035.60
503592|9280998.75
306587|9280648.43
598714|9277516.60
236962|9276519.20
2956|9275344.52
456091|9274601.70
105989|9274534.10
559580|9272070.38
279796|9271518.76
567400|9270674.91
23307|9269386.72
192714|9268366.36
442380|9266172.74
219732|9264344.42
403471|9264194.68
381193|9263605.38
390619|9262553.96
459173|9262511.70
166598|9261975.75
106487|9261903.47
85302|9261855.13
517110|9261324.45
329163|9259561.72
29068|9256583.88
309547|9256450.02
168486|9254545.02
152229|9254407.23
424188|9254345.98
99159|9252696.32
266880|9251787.25
425872|9249053.79
456856|9248358.32
322525|9243915.45
242450|9242615.65
489856|9241219.46
519898|9241158.30
40168|9240525.82
77213|9240350.40
575128|9236792.71
186118|9236209.12
324269|9234268.42
354284|9234002.53
131203|9233038.71
164636|9231989.92
376411|9231038.10
377099|9229738.34
555016|9225999.62
205308|9220678.28
590906|9220219.16
279382|9217890.20
211626|9217760.90
506853|9217357.68
386865|9217000.80
49033|9215045.35
430306|9215018.01
345224|9214446.90
561811|9212862.24
494904|9212178.60
33257|9208416.32
410939|9208398.75
61372|9205228.76
372735|9203649.93
568108|9203047.20
326997|9202353.84
318351|9202215.36
433213|9202076.15
509918|9201909.80
474047|9201885.92
28504|9201669.20
479341|9200657.05
570310|9199807.52
358927|9199444.32
193148|9196729.92
480325|9196006.05
350168|9195646.46
231848|9194848.00
479657|9194712.26
446230|9193425.08
292880|9193164.39
230425|9192921.30
254188|9192181.68
553843|9191529.70
267276|9191315.16
27191|9189271.65
142749|9188813.21
262847|9187060.44
306588|9184742.40
502148|9181801.44
347979|9181628.56
41906|9179601.44
586229|9179398.80
203036|9178703.54
324342|9178049.16
425964|9174480.57
454371|9172603.68
123436|9172500.33
410037|9172180.74
395891|9171982.12
185136|9171293.04
120057|9171000.59
549586|9170412.41
278095|9169724.95
502634|9168808.31
381924|9168806.12
165151|9168489.90
366359|9167300.82
466741|9165895.31
588092|9165683.77
538111|9165561.24
505125|9164554.36
553015|9161994.24
502015|9161408.06
531379|9158951.43
56775|9158897.87
317211|9158050.54
321438|9158020.73
555083|9157137.87
185190|9156364.80
202613|9154753.30
511856|9154171.80
301034|9154092.71
240680|9153920.16
589982|9153645.60
126673|9153577.84
474092|9153354.20
305939|9152774.66
283256|9151871.26
376942|9151696.89
317780|9151650.76
210165|9149883.96
118738|9149108.70
307946|9148908.30
475743|9148450.50
40728|9148280.96
597270|9147733.51
451084|9147533.22
472889|9146391.00
30755|9146196.84
367883|9141644.14
593807|9140988.54
231523|9139409.10
319302|9138918.16
103987|9138672.90
473677|9138338.44
171933|9137755.00
409537|9137740.50
326624|9137526.19
362957|9137016.27
538439|9136795.68
473483|9136476.68
404322|9135992.36
223870|9135233.14
124881|9135224.44
403413|9133627.71
583775|9132997.71
185409|9131603.32
79727|9131387.98
272853|9128676.79
244507|9127986.76
582272|9126434.61
141778|9124789.24
130042|9123595.39
409694|9123585.15
158148|9122338.80
155574|9120909.77
470944|9120827.45
58985|9120542.16
348615|9117096.42
142215|9116876.88
33354|9116701.65
599227|9115586.37
112672|9113794.48
341403|9112729.40
133465|9112325.00
345189|9111822.03
401876|9109341.00
319254|9109277.76
113318|9108338.76
288091|9107858.70
437447|9106421.35
193725|9104832.80
583404|9103992.45
532180|9101757.48
372338|9101082.34
449857|9100937.16
408972|9099633.52
514677|9099546.97
408916|9098405.03
75064|9098257.76
465181|9097707.52
303730|9096256.74
193463|9094836.80
307579|9091539.14
498434|9090488.09
487488|9090047.64
427183|9088624.86
385140|9087919.00
277726|9087641.93
395298|9087359.86
188140|9086367.57
522429|9084323.40
285649|9080718.23
44230|9079665.08
100310|9078171.62
569036|9076896.40
218841|9076144.00
66820|9076065.92
515047|9074095.50
3851|9072657.24
88490|9072380.26
466028|9072322.56
386655|9070994.94
227285|9070959.03
181271|9070631.52
528948|9069504.57
21306|9068381.13
100885|9066859.76
212949|9064978.08
133977|9063735.96
281159|9063032.38
462955|9062304.75
385108|9061930.35
182182|9061855.72
255795|9060572.01
573765|9059706.95
513549|9059411.25
164440|9058850.77
208605|9058462.35
58187|9057144.32
304336|9053302.98
335446|9052159.98
319651|9049260.84
72824|9048756.60
127412|9047263.68
441193|9046862.00
299723|9046306.80
498986|9045938.40
242948|9045632.70
259168|9045276.46
448230|9044844.80
354578|9043659.00
114784|9042522.72
142532|9041248.10
429989|9041232.33
8823|9040855.10
227588|9040531.50
556045|9040153.84
314569|9039522.75
223683|9038708.66
347539|9038673.52
46652|9034659.66
560642|9033723.80
207211|9032573.39
333561|9031256.70
532730|9030698.30
414453|9028463.70
538364|9028398.72
363615|9026718.75
188063|9024779.10
275090|9024741.24
369715|9023612.44
153454|9023191.32
456042|9022742.54
75089|9021820.22
19605|9021180.80
226450|9020268.24
339089|9019971.88
278213|9019081.68
56214|9018909.90
3357|9018786.78
268745|9017780.00
575664|9016508.76
295493|9016041.20
95942|9015585.12
454686|9014866.56
493737|9013675.20
260939|9013410.56
393675|9012161.03
514884|9011424.00
335967|9011147.69
547849|9011117.70
93328|9007211.20
190164|9007029.76
461070|9006862.86
125890|9006366.60
406269|9000896.87
84035|9000249.12
403780|9000045.75
224510|8999404.35
585604|8999292.12
193971|8997556.40
416129|8996493.48
74790|8996385.34
188792|8996014.00
328494|8993292.08
49418|8993041.35
390032|8992132.05
95752|8990139.73
183566|8990036.50
454418|8989635.90
268833|8989629.00
9552|8987910.20
527942|8984192.70
178717|8983426.43
87229|8982790.52
424325|8982350.52
111141|8982165.36
399989|8981741.16
198622|8981178.96
72421|8980603.00
11773|8979568.88
110939|8977229.10
4191|8975610.56
372165|8975122.76
336391|8974833.17
449599|8973854.60
208914|8973336.92
342741|8970215.70
550093|8969185.50
323374|8968941.84
227656|8968929.48
182299|8968113.97
356589|8968111.72
106671|8967897.12
14293|8967661.92
364419|8967658.95
287462|8967116.56
534955|8966971.26
29636|8966791.09
567237|8966029.76
493968|8964512.00
258792|8964218.76
296921|8964177.36
21843|8964145.45
9466|8961450.67
155017|8961067.01
554322|8959567.66
376048|8958378.25
433738|8958028.04
57316|8956287.76
543791|8954264.55
463864|8953712.64
148658|8953631.12
313013|8952482.43
243730|8952276.90
336065|8951478.45
554578|8949741.84
484128|8948818.16
157679|8948503.69
526414|8948412.00
408803|8947601.22
223712|8946909.36
576859|8946185.95
49720|8945903.87
151014|8945680.80
17611|8945315.52
367745|8943110.24
124234|8939839.66
163157|8936012.44
446844|8935947.27
9403|8933767.74
3141|8933695.87
441955|8931118.56
512297|8931091.06
469677|8931056.40
568588|8930773.35
148095|8929984.85
471097|8929633.86
265930|8928565.92
558070|8927725.98
536850|8927542.13
352875|8927426.88
491472|8927299.20
244113|8926578.00
245306|8926496.00
269914|8926009.77
553714|8925778.80
235737|8924000.40
468408|8923129.29
87197|8922726.72
349262|8921062.54
509565|8920681.20
588442|8919694.66
243250|8918955.76
571357|8917556.49
598974|8917449.54
139739|8916780.81
412097|8915371.14
430182|8912229.62
118914|8911387.68
101161|8911329.21
424220|8911083.20
37751|8910670.52
140312|8908872.90
299114|8907782.19
369730|8907443.76
361347|8907139.20
113094|8906491.26
91631|8905071.12
225317|8905018.98
519131|8904528.01
148839|8903791.80
493534|8903772.45
77288|8903670.00
313344|8903497.11
368502|8901314.10
23980|8900499.12
202514|8900222.76
219960|8899823.40
50473|8898718.02
559286|8898566.40
267846|8898539.52
561607|8897117.80
328741|8895129.76
103287|8893594.85
300237|8892665.00
72219|8891973.24
277909|8891896.88
16322|8891705.72
44058|8891249.64
462240|8891151.57
410972|8890498.10
306939|8890205.94
143931|8890158.50
424357|8889807.96
490178|8889431.04
121562|8887740.40
419610|8884621.55
288847|8884389.04
101477|8883303.36
44731|8882444.95
93141|8881850.88
436879|8881734.40
352670|8881361.33
467099|8880623.54
299091|8878427.52
324783|8875758.94
356623|8875389.58
180048|8874630.00
521642|8870791.41
417254|8869891.23
1489|8868737.01
296746|8867311.90
423254|8866608.40
207460|8865398.14
181159|8864459.51
236880|8863043.02
53112|8862876.98
27177|8861903.82
414560|8860025.58
55487|8859911.84
527001|8859738.71
317326|8859468.91
303595|8858802.74
256063|8858143.80
575885|8856249.30
232229|8855712.27
543223|8855672.00
136745|8854065.18
268247|8853651.25
138091|8852463.34
191504|8852190.54
456880|8851968.00
82130|8850984.24
363122|8850345.28
88274|8849726.90
252689|8849156.28
342041|8847442.64
544387|8847023.04
281477|8846713.52
370609|8844637.00
540211|8843773.32
415815|8841714.00
446773|8841435.56
594152|8840948.94
236034|8840886.56
273370|8840171.34
78094|8839938.29
36489|8838538.10
149242|8836721.96
535540|8836710.00
294254|8836653.00
380762|8836341.15
534284|8832983.28
461996|8831101.00
581284|8830140.84
583917|8829822.00
93920|8829270.87
373816|8829017.10
216079|8828430.65
426669|8825841.70
569005|8825560.92
256720|8825297.08
103581|8824793.08
244982|8823329.97
408533|8821721.32
594269|8819802.53
65421|8819329.24
438583|8818974.24
29072|8818280.46
280632|8817264.51
161624|8817058.08
355640|8816484.20
122729|8816334.84
152464|8814533.82
530273|8814224.40
103463|8814181.68
172|8813849.35
441174|8812866.24
351568|8812431.96
403071|8811497.46
597542|8811137.20
190299|8811065.92
397008|8809998.00
61884|8809779.50
223792|8809107.34
286894|8808637.66
26592|8806820.34
307400|8806046.70
572300|8806009.77
139785|8804860.00
167882|8804315.55
127645|8803602.08
523381|8802654.98
584209|8802363.69
157705|8802278.28
487243|8802187.50
151038|8800215.80
122231|8798840.75
112197|8798153.41
368437|8797804.47
85840|8797184.78
279879|8796734.18
426372|8796232.25
120081|8796204.76
537270|8795864.22
527039|8795460.80
598249|8795036.16
235432|8794965.05
117195|8794870.52
435502|8794384.11
20588|8794027.80
72187|8793884.40
265271|8793267.27
569008|8793039.20
492651|8791787.55
19601|8791341.02
110332|8791087.34
395556|8790433.50
366544|8790067.20
421952|8789673.96
32779|8789235.71
91359|8788986.40
567191|8785430.40
353914|8785051.50
188589|8782964.16
69914|8782807.20
55588|8782416.87
522129|8782330.76
386131|8779918.56
235270|8779423.77
295819|8778195.90
419478|8777714.22
98540|8777239.90
98152|8776714.59
320108|8775698.19
267369|8775379.76
103937|8775259.65
167478|8773505.00
582579|8772752.46
586204|8771337.77
266772|8771308.95
287761|8768701.00
264134|8768559.57
120408|8768011.12
218642|8766509.92
383837|8766333.52
200092|8765922.80
567320|8763997.58
362000|8763026.00
404298|8762354.64
348225|8762102.91
63145|8761991.96
268746|8761573.17
277154|8761545.32
585674|8759445.86
380247|8759120.42
256897|8758865.92
375124|8758495.43
531189|8758164.00
461839|8757716.40
388676|8756463.96
188104|8756202.00
588440|8755903.95
503883|8755849.75
60670|8755215.04
376888|8754955.96
260665|8754774.15
500148|8754751.13
330329|8754194.97
317623|8753999.85
107798|8753273.36
386277|8751704.00
354216|8750845.80
358522|8750525.04
232861|8750057.70
575060|8749994.44
38792|8748565.14
534146|8746788.15
473158|8745232.71
325276|8743648.00
526507|8743297.20
376757|8743076.10
87270|8742341.44
74188|8741651.94
563797|8740845.32
297323|8740710.42
501106|8740384.00
372477|8739802.35
230533|8739756.75
279956|8739137.05
344691|8737665.93
8581|8736580.38
110936|8736534.34
555156|8736418.24
486807|8734460.23
160717|8733064.96
369379|8731823.72
7757|8731337.87
25282|8731159.36
477252|8730885.99
526092|8728451.22
5134|8728424.64
320039|8727684.70
234578|8726236.69
488691|8725130.04
568136|8725061.72
252910|8724888.24
285502|8723929.44
253924|8723273.64
312237|8723209.59
545943|8722014.84
7827|8721938.60
596292|8720032.60
521184|8719728.58
499370|8719419.60
153141|8719407.51
193798|8719056.90
180915|8718682.40
108792|8717959.50
392711|8717634.14
156822|8715456.86
593433|8714709.90
118641|8714676.60
183996|8714080.97
253757|8712639.76
181804|8712257.76
383483|8711794.86
51569|8710836.17
441645|8710264.68
276168|8709082.96
247132|8708905.34
97499|8708733.99
294119|8708565.12
90485|8708041.05
67930|8707894.20
361435|8707546.38
368571|8707528.71
59803|8707512.69
153999|8705885.12
293962|8705069.10
83933|8705030.06
22420|8703903.34
452626|8703354.38
56005|8703150.66
571072|8702572.56
353447|8702100.68
466277|8701992.40
272142|8697805.09
581717|8696368.80
349534|8696003.82
135674|8695067.00
408553|8694961.75
152044|8693220.60
436491|8693156.64
313585|8692175.99
3655|8691248.68
20999|8690343.20
460576|8690300.91
581882|8690126.37
317916|8689995.14
547484|8689960.23
446093|8689106.58
516566|8689069.27
210755|8688567.42
37670|8687985.31
8514|8687624.05
131014|8686773.49
360616|8686205.66
457660|8686184.00
54550|8685937.50
322447|8684980.92
60536|8684818.56
186518|8684040.72
333827|8682849.36
561114|8681339.05
588992|8680540.50
41855|8680538.10
433689|8679879.00
576105|8679797.98
143149|8679788.08
277317|8679748.95
388454|8679367.95
540919|8679338.64
101238|8679110.05
128581|8678402.74
445631|8678015.60
125978|8677675.29
482491|8676886.05
232612|8676033.91
133026|8674820.00
398100|8674281.21
389565|8673564.35
496555|8673383.60
51572|8671477.97
468803|8669964.16
435033|8667810.80
325|8667741.28
272223|8667724.85
459451|8667187.38
490250|8667165.00
418439|8667134.54
193480|8666215.92
390387|8665761.84
384787|8664089.20
12098|8663656.56
524068|8662579.38
520314|8662433.16
297562|8661937.96
90141|8661711.56
434749|8661664.92
135375|8660438.85
126843|8659054.50
122949|8658846.23
481794|8658799.22
506840|8658582.94
498573|8658562.76
450796|8658499.92
82631|8658331.85
502310|8658091.59
402696|8657686.30
510516|8656851.42
533433|8656733.94
77793|8655742.50
101592|8655390.72
271508|8654803.04
52159|8653850.40
6313|8653601.37
484332|8652859.60
453218|8652345.95
46085|8649359.46
513115|8647715.08
462359|8646849.00
348593|8646744.49
554929|8646052.50
78649|8644573.70
104541|8643844.04
116880|8643633.90
33141|8643243.18
592380|8642595.17
294767|8642529.20
138112|8642221.97
370634|8641936.45
529723|8641740.89
270984|8640963.52
135300|8640445.66
224794|8639747.50
351883|8638976.88
176723|8638788.90
287422|8638487.96
192102|8638102.72
