s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9923.77|Supplier#000002324|GERMANY|204817|Manufacturer#1|y3OD9UywSTOk|17-779-299-1839|ackages boost blithely. blithely regular deposits c
9919.66|Supplier#000017014|RUSSIA|92007|Manufacturer#3|xebeZaQeBX8eE0sK9U|32-211-977-2308|ully even ideas wake blithely final accounts. slyly ruthless requests across the 
9904.22|Supplier#000029749|UNITED KINGDOM|592229|Manufacturer#3|b3ld3,0Nixqxvcbd3VEY86vb84EY|33-887-460-2923|ress multipliers wake finally after the blithely final a
9897.41|Supplier#000017795|UNITED KINGDOM|115285|Manufacturer#5|A5a1lovY,yQoSHaYon5cGgo1l|33-398-227-1033| express accounts haggle blithely. furiously ironic requests cajole quickly. quickly final fo
9893.40|Supplier#000007671|FRANCE|202658|Manufacturer#2|IZ4jEzEG0hX5F6aHtU|16-297-940-9391|s cajole. slyly special asymptotes across the blithely final accounts wake slyly bold, iron
9885.28|Supplier#000014355|FRANCE|6854|Manufacturer#4|NQwHzqza ZCVlfbeDe4|16-269-348-7463|s eat? blithely final theodo
9871.22|Supplier#000006373|GERMANY|13872|Manufacturer#3|J8fcXWsTqM|17-813-485-8637|etect blithely bold asymptotes. fluffily ironic platelets wake furiously; blit
9869.66|Supplier#000016553|ROMANIA|324022|Manufacturer#5|MBv6xbbVlLii9w9b5uBo|29-212-862-7077|eposits sleep pinto beans. deposits eat ironically. carefully silent courts against the slyly silent
9866.72|Supplier#000010268|ROMANIA|190267|Manufacturer#5|IIRDDdhpT08DLOpyZSBCot3Rh|29-986-591-5398|ly special packages cajole blithely about the ironic, unusual accounts. ironic, iro
9865.33|Supplier#000028701|FRANCE|306170|Manufacturer#1|DuASgHUbjQ Tnq1yQ4RPRs5L IIm|16-503-296-3985|egular dinos haggle ideas. furiou
9865.33|Supplier#000028701|FRANCE|576143|Manufacturer#1|DuASgHUbjQ Tnq1yQ4RPRs5L IIm|16-503-296-3985|egular dinos haggle ideas. furiou
9860.24|Supplier#000029047|FRANCE|224032|Manufacturer#5|9YOTHZrVjWbI6nF1P|16-229-827-8211|kly. fluffily special theodolites along the busily 
9857.06|Supplier#000014764|GERMANY|397250|Manufacturer#3|Vrx 2luA85KwWDh|17-785-865-4763|ar packages could boost furiously at
9847.57|Supplier#000006345|FRANCE|66344|Manufacturer#4|VSt3rzk3qG698u6ld8HhOByvrTcSTSvQlDQDag|16-886-766-7945|ges. slyly regular requests are. ruthless, express excuses cajole blithely across the unu
9847.19|Supplier#000006422|UNITED KINGDOM|403882|Manufacturer#1|ZB4jC7Mkv12AF69jXunQu8FZEPdjF5Incs|33-182-240-4174|ecial packages. quickly silent accounts about the fluffily unusual theodoli
9847.19|Supplier#000006422|UNITED KINGDOM|538904|Manufacturer#1|ZB4jC7Mkv12AF69jXunQu8FZEPdjF5Incs|33-182-240-4174|ecial packages. quickly silent accounts about the fluffily unusual theodoli
9817.10|Supplier#000002352|RUSSIA|197339|Manufacturer#2|4LfoHUZjgjEbAKw TgdKcgOc4D4uCYw|32-551-831-1437|wake carefully alongside of the carefully final ex
9815.76|Supplier#000022678|FRANCE|60171|Manufacturer#4|Oe9b1cNaAljm0OjBUrwS|16-167-391-9023|ve the idly regular ideas detect quickly furiously final pack
9808.75|Supplier#000007872|FRANCE|420357|Manufacturer#2|wNlvR0u0jwFd3wvWdRGpnN0G9g3ArZyrTuX|16-117-200-6865|inst the express, bold ideas. furiously final deposits haggle carefully around the sl
9808.25|Supplier#000012649|ROMANIA|312648|Manufacturer#4|MdUWGpibJY uamEuhvpWzgyzyDn Uxl8QYkdCqbU|29-622-551-4334|he regular pinto beans are fluffily since the u
9788.34|Supplier#000028695|RUSSIA|268694|Manufacturer#2|2xpqxulLyrwJk34enWS4Wwa6WVrbOfaR9|32-637-686-9685|furiously even theodolites. quickly
9782.08|Supplier#000013403|ROMANIA|125898|Manufacturer#4|kF9vyEI5yyyIjaBJ6pZsTeLN4FqgoHmz7,le|29-456-774-5753|ages doze quickly unusual foxes-- carefully regular packages boost qu
9779.65|Supplier#000017125|UNITED KINGDOM|249616|Manufacturer#3|wjR6dOcSu1xxYMfcZFj97hKUcs|33-473-269-4808|ly about the slyly pending ide
9779.65|Supplier#000017125|UNITED KINGDOM|422096|Manufacturer#4|wjR6dOcSu1xxYMfcZFj97hKUcs|33-473-269-4808|ly about the slyly pending ide
9769.47|Supplier#000029494|ROMANIA|231986|Manufacturer#3|jmXfVNb3MLeoaWwN4tyg75h188Wg|29-132-947-1759|ss the even packages grow quickly across the busy, unus
9763.93|Supplier#000023469|RUSSIA|390929|Manufacturer#3|PBTmDcMnGhiCPJkdfRVjw4hU2RJLMc|32-931-415-6480|along the quickly even dependencies.
9759.04|Supplier#000005824|ROMANIA|508307|Manufacturer#4|Hbo853nz6rQ5RKlDaO|29-320-222-4934|leep fluffily? furiously regular deposits according to the pinto beans nag carefully above the slyly
9752.30|Supplier#000026909|GERMANY|476908|Manufacturer#5|2fgw5eup7ptrbNAUBlnsDUmGPawRaBOE|17-737-957-3540| wake quickly unusual depos
9747.49|Supplier#000003280|FRANCE|355768|Manufacturer#4|TtNwejP, 4GKXNfky9Jc,8gaGEI|16-794-822-3737|ests. express, final requests haggle furiously among the blithely regular r
9743.16|Supplier#000025763|ROMANIA|220748|Manufacturer#2|mBD5LuSFDnbh9hUBeVo5W czgktLWa1,|29-686-241-3741|equests; busily brave asymptotes along the eve
9737.65|Supplier#000021088|GERMANY|193581|Manufacturer#1|vvKiJhuNQWyRCpF7GuLJBk87YXYlqrd|17-452-495-8646|ly carefully express ideas. carefully special requests against the quietly bold packages 
9727.07|Supplier#000018092|GERMANY|258091|Manufacturer#3|zqVOXOmhM WKR47TRu5ckZo|17-987-684-6887|haggle blithely. unusual asymptotes engage according to the blithely pending ide
9727.07|Supplier#000018092|GERMANY|565537|Manufacturer#4|zqVOXOmhM WKR47TRu5ckZo|17-987-684-6887|haggle blithely. unusual asymptotes engage according to the blithely pending ide
9726.30|Supplier#000006092|FRANCE|73585|Manufacturer#4|zu,8R7AJlO0PgWe144XHxWUehSOTexqMUDcbRpr|16-567-946-3590|, regular packages. final deposits sleep fluffily regular deposits. 
9723.79|Supplier#000012672|UNITED KINGDOM|545153|Manufacturer#4|MHtfXaLm01SgZm4axWTHUx,lqvNru5Q|33-494-490-1123| express pinto beans. slyly final package
9723.79|Supplier#000012672|UNITED KINGDOM|560117|Manufacturer#2|MHtfXaLm01SgZm4axWTHUx,lqvNru5Q|33-494-490-1123| express pinto beans. slyly final package
9714.87|Supplier#000029693|RUSSIA|149692|Manufacturer#1|8EwNvwJcq9dy34,IZ8X17s8|32-925-377-2240|lly even instructions. furiously b
9690.12|Supplier#000005457|FRANCE|80452|Manufacturer#4|3gTI SbYeckJOAGls6NlUPQUnbfhBmMXATrM|16-421-469-8087| after the regular deposits! fluffily busy courts wake carefully
9687.64|Supplier#000021873|GERMANY|464357|Manufacturer#1|tQiGTF3jvMyEy5ieZ4eI1DJWbvLahNJ02|17-461-454-8020|s use across the requests. regular requests are blithely. slyly bold foxes affix accor
9677.23|Supplier#000012002|UNITED KINGDOM|214494|Manufacturer#1|2ZHJ8yaizwVy8Shpb3AAKoxA 6|33-792-172-9789|ng the accounts wake carefully ironic pinto beans. carefully fina
9662.59|Supplier#000009883|UNITED KINGDOM|414856|Manufacturer#3|w8IytP4iV4uVGwAEy4HFZdysrv6,tykVZALiS0H|33-456-537-9468|e according to the ironic packages. regular, bold accounts unwind. slyly e
9657.60|Supplier#000007251|RUSSIA|434708|Manufacturer#5|WJ3 AJhmgwV56aAibT5ZLsozU|32-623-165-6389|the accounts. unusual packages detect slyly according to the slyly final packages; acco
9657.60|Supplier#000007251|RUSSIA|494702|Manufacturer#4|WJ3 AJhmgwV56aAibT5ZLsozU|32-623-165-6389|the accounts. unusual packages detect slyly according to the slyly final packages; acco
9651.40|Supplier#000001099|RUSSIA|151098|Manufacturer#3|Ttj  R 9PUekFZI 3zq|32-784-328-6730| the permanently final foxes. quickly express excuses around the furiously close requests 
9648.56|Supplier#000024207|RUSSIA|151691|Manufacturer#2|k7D1RK0odAoXA|32-742-842-9601|lithely final, express platelets. carefully bold dolphins detect 
9648.56|Supplier#000024207|RUSSIA|331673|Manufacturer#1|k7D1RK0odAoXA|32-742-842-9601|lithely final, express platelets. carefully bold dolphins detect 
9646.88|Supplier#000012890|RUSSIA|162889|Manufacturer#4|ePuy297vaIzy9LsJ9cpDjr96K|32-945-810-6279|quickly above the furiously special theodolites. slyly bold 
9632.12|Supplier#000014547|UNITED KINGDOM|104546|Manufacturer#3|1TCTj7PAKVcclOCoJL|33-768-572-8306|ependencies. even deposits integrate slyly dolphins. bold, final frets use beside t
9632.12|Supplier#000014547|UNITED KINGDOM|427032|Manufacturer#4|1TCTj7PAKVcclOCoJL|33-768-572-8306|ependencies. even deposits integrate slyly dolphins. bold, final frets use beside t
9627.69|Supplier#000018332|GERMANY|520814|Manufacturer#2|E5YvO3Qhzc,UYu4,h2jwnR,WBjr|17-864-889-3540|ndencies. furiously express accounts boost furiously slyl
9624.82|Supplier#000001816|FRANCE|496783|Manufacturer#3|e7vab91vLJPWxxZnewmnDBpDmxYHrb|16-392-237-6726|e packages are around the special ideas. special, pending foxes us
9624.16|Supplier#000025554|FRANCE|580515|Manufacturer#5|,vYL98FoBo3atl8D|16-532-571-9782|s wake alongside of the carefully r
9623.09|Supplier#000029612|ROMANIA|247087|Manufacturer#3|QbGPSyVJTE36aD|29-441-617-3541|s was ironically even accounts; slyly express packages sleep insi
9612.94|Supplier#000003228|ROMANIA|423227|Manufacturer#5|KDdpNKN3cWu7ZSrbdqp7AfSLxx,qWB|29-325-784-8187|warhorses. quickly even deposits sublate daringly ironic instructions. slyly blithe t
9605.80|Supplier#000019526|RUSSIA|386989|Manufacturer#1|h4rGS,SVgHVo3lfw30Ix37kEL224wMbVJ2|32-814-590-7796|press accounts. carefully even dolphins integrate slyly. 
9604.98|Supplier#000019147|UNITED KINGDOM|401633|Manufacturer#5|SliFgqYDRgPiiZXvfaR8L B|33-517-594-1961| carefully ironic pinto beans. slyly pen
9600.80|Supplier#000020088|UNITED KINGDOM|12587|Manufacturer#1|sMJsck6SZce2nSfN762je,zlbw9Itbr|33-653-760-9556|cajole slyly. ironic dependencie
9589.51|Supplier#000014632|UNITED KINGDOM|397118|Manufacturer#1|ihTNdGzZmHC5766ZdgKJoM3cWt8p|33-849-316-4032|ven packages nag above the sometimes silent packages: carefully even ideas boost carefully ag
9577.81|Supplier#000019728|ROMANIA|462212|Manufacturer#5|1nT4IOwzHsmARxT6A852l81giExJoHtF1yh|29-715-268-7557| the blithely busy depths. even, final asymptotes
9553.64|Supplier#000024145|UNITED KINGDOM|466629|Manufacturer#2|rbiaLFWNGs9afcM7zKw4e9GBN4w1caK87|33-623-719-4151|blithely regular deposits after the final, ironi
9545.04|Supplier#000014845|GERMANY|404844|Manufacturer#1|fyFtsX41dNY8QlTuW1RHHoAPwz7O5h6o1O9tw|17-977-604-3736|ly regular instructions nag slyly-- bold, express dolphins sleep carefully ironic accounts.
9540.87|Supplier#000023881|FRANCE|556362|Manufacturer#5|b9uZ2xFTtzh2|16-385-429-8253|ingly final sentiments. even she
9531.97|Supplier#000024294|FRANCE|151778|Manufacturer#3|HT2SuQBOm9dTna4Sv 40nxDcLCZfA5CTZ6UE|16-374-169-5049|to the silent platelets affix above the special dinos. never express escapades sleep.
9530.10|Supplier#000027445|ROMANIA|589925|Manufacturer#1|Rj03Q9Lo6Dan7eAS8fKtW|29-384-860-7871|blithely final deposits lose fluffily according to the carefully pending do
9529.75|Supplier#000019284|RUSSIA|244267|Manufacturer#1|3qAqTZRoldRG9OGb5mP52h iQgePMuB799Hr|32-664-786-5980|nding deposits wake after the ironic, ironic
9529.75|Supplier#000019284|RUSSIA|439283|Manufacturer#2|3qAqTZRoldRG9OGb5mP52h iQgePMuB799Hr|32-664-786-5980|nding deposits wake after the ironic, ironic
9520.20|Supplier#000025093|RUSSIA|392553|Manufacturer#5|QQfEu EYZxn|32-451-655-2069|frets wake slyly carefully pending platelets. furiously silent excuses haggle fluffily fin
9519.14|Supplier#000004568|UNITED KINGDOM|484567|Manufacturer#4|BtrYY,xTReh,wSJe|33-744-982-9995| final courts. slyly regular requests abo
9505.88|Supplier#000029476|FRANCE|261967|Manufacturer#1|IHX2qgcXhX8RPlbR2LDgKhUwYz|16-924-556-5262|ornis. pending asymptotes across the carefully even dependencies wake on the pending deposits. slyly
9505.88|Supplier#000029476|FRANCE|269475|Manufacturer#3|IHX2qgcXhX8RPlbR2LDgKhUwYz|16-924-556-5262|ornis. pending asymptotes across the carefully even dependencies wake on the pending deposits. slyly
9505.88|Supplier#000029476|FRANCE|599475|Manufacturer#4|IHX2qgcXhX8RPlbR2LDgKhUwYz|16-924-556-5262|ornis. pending asymptotes across the carefully even dependencies wake on the pending deposits. slyly
9502.73|Supplier#000014341|FRANCE|306830|Manufacturer#5|rC,,R0h9rvTgcuho|16-438-222-1173|eposits integrate quickly among
9496.41|Supplier#000011868|FRANCE|311867|Manufacturer#4|DMpx1d,PSFi0,WFt8wuJKjb8cWIChSLba|16-498-733-5552|mptotes x-ray idly along the slyly regular accounts. asymptotes are. fluffily special courts 
9494.79|Supplier#000017738|GERMANY|257737|Manufacturer#5|oCnRBKoyOfuT9bC3o9gyOZ8eZs,yoOTPZcOT3K6|17-879-949-2376|ons. furiously ironic requests haggle accord
9489.17|Supplier#000027272|RUSSIA|379759|Manufacturer#2|MF9WcNYUC1dibCmJWl4a5WMrVEihjl|32-649-814-7474|yly regular accounts sleep quickly across the carefully unusual requests. fur
9489.13|Supplier#000008691|FRANCE|46187|Manufacturer#4|tqAgYLH3heebryx3buenTEzlpPx86Hz|16-671-409-5178|l platelets. bold, pending theodoli
9489.13|Supplier#000008691|FRANCE|383666|Manufacturer#5|tqAgYLH3heebryx3buenTEzlpPx86Hz|16-671-409-5178|l platelets. bold, pending theodoli
9479.30|Supplier#000015014|UNITED KINGDOM|307503|Manufacturer#1|swq2YHfVZ4KNGM OsnzOgT8zcU4DLvBirHqD|33-497-191-1523|arefully regular foxes boost furiously final, regular forges. eve
9474.72|Supplier#000011600|FRANCE|574080|Manufacturer#5|zvYqsmnBaHrBUwjUtlR |16-231-768-6655|l pinto beans. theodolites from the
9454.06|Supplier#000012960|ROMANIA|260435|Manufacturer#4|5T75zJImnmDQZdf0PLLwCD yA|29-907-787-1953|y blithe ideas. requests cajole slyly. blithely idle packages unwind carefully among the ironic,
9452.02|Supplier#000018225|GERMANY|78224|Manufacturer#5|P8IUTQYyXUApo2bUmzluGdfTI2NezbD,|17-472-825-5010| fluffily slyly silent account
9444.25|Supplier#000016296|UNITED KINGDOM|541259|Manufacturer#3|es51UVeOWbyRdb53y|33-103-938-8339|s use above the slyly even packages. carefully pending foxes sle
9439.23|Supplier#000025271|GERMANY|220256|Manufacturer#2|l0IvgmEKzQHSfQY4XBqFaiBCMByERlIiVm2FA|17-639-183-6322|beans sleep final deposits. carefully ironic ideas above the regular, 
9438.89|Supplier#000005859|RUSSIA|230844|Manufacturer#1|KwJ 0xkkNHIZmRhsUDcqxq28I6BZMp|32-724-166-1125|haggle carefully final requests. furiously ruthless foxes haggle furi
9430.81|Supplier#000008515|ROMANIA|503482|Manufacturer#3|TA12u9cZKAlmzPorkWJgvtJrjus,5|29-357-508-1973|ily packages. carefully regular requests 
9416.45|Supplier#000018458|UNITED KINGDOM|25957|Manufacturer#3|qwEl9qoU6kwRP6vJ6hxUs9Uif9PrtFjWoOn7D|33-848-283-3697|ickly ironic instructions affix. carefully regular accounts are furiously.
9416.45|Supplier#000018458|UNITED KINGDOM|363433|Manufacturer#3|qwEl9qoU6kwRP6vJ6hxUs9Uif9PrtFjWoOn7D|33-848-283-3697|ickly ironic instructions affix. carefully regular accounts are furiously.
